City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kasongo,CD,71.19,light rain,-4.45,26.6667,Guest Hôtel
4,Palu,ID,74.14,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
6,Bengkulu,ID,75.78,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Rikitea,PF,77.86,broken clouds,-23.1203,-134.9692,Pension Maro'i
8,Mar Del Plata,AR,75.2,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Veraval,IN,78.78,clear sky,20.9,70.3667,Lords Inn Somnath
15,Kapaa,US,71.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
18,Sao Jose Da Coroa Grande,BR,76.03,light rain,-8.8978,-35.1478,Crôa Mares Hotel
20,Gorontalo,ID,74.35,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
22,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
26,Arraial Do Cabo,BR,82.4,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
28,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Castro,BR,71.83,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
34,Necochea,AR,76.44,clear sky,-38.5473,-58.7368,dyd -mar Hotel
36,Khanu Woralaksaburi,TH,83.16,overcast clouds,16.0617,99.8606,River Green Resort
46,Axim,GH,82.9,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
49,Isangel,VU,78.33,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
51,Manokwari,ID,78.94,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
54,Avarua,CK,73.4,few clouds,-21.2078,-159.775,Paradise Inn
55,Hambantota,LK,80.83,overcast clouds,6.1241,81.1185,Bungalow 63
56,Sola,VU,82.8,broken clouds,-13.8833,167.55,Leumerus Bungalows
57,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
60,Takoradi,GH,83.19,broken clouds,4.8845,-1.7554,Raybow International Hotel
61,Loandjili,CG,82.4,scattered clouds,-4.7561,11.8578,Résidence ARCHANGE
62,Puerto Ayora,EC,84.2,light intensity drizzle,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Atuona,PF,80.96,broken clouds,-9.8,-139.0333,Villa Enata
69,Bocaiuva,BR,84.2,broken clouds,-17.1078,-43.815,Hotel Maxim's
72,Zemio,CF,72.34,broken clouds,5.0314,25.1361,OCHA Office
75,Banjar,ID,82.4,few clouds,-8.19,114.9675,The Hamsa Resort
76,Labuan,MY,77.0,few clouds,5.2767,115.2417,Tiara Labuan Hotel
77,Kampong Cham,KH,83.98,broken clouds,11.9934,105.4635,7 Makara Hotel
79,Butaritari,KI,82.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
82,Cayenne,GF,84.2,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
87,Hithadhoo,MV,82.4,clear sky,-0.6,73.0833,Scoop Guest House
90,Viedma,AR,72.48,broken clouds,-40.8135,-62.9967,Hotel Cristal
93,Ailigandi,PA,83.46,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
94,Agadir,MA,73.4,few clouds,30.4202,-9.5982,Iberostar Founty Beach
100,Sakakah,SA,80.6,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
101,Dawei,MM,78.55,broken clouds,14.0833,98.2,Hotel Dawei
108,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
109,Luanda,AO,84.2,scattered clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
111,Saint-Paul,RE,78.8,overcast clouds,-21.0096,55.2707,Boucan Canot
115,Baybay,PH,77.05,overcast clouds,10.6833,124.8333,Palermo Hotel
116,Ibirapitanga,BR,81.86,overcast clouds,-14.1642,-39.3736,Barbearia Clube do Talento
119,Manta,EC,82.4,broken clouds,-0.95,-80.7333,Balandra Hotel
124,Pangai,TO,71.6,few clouds,-19.8,-174.35,Ha'apai Beach Resort
127,Tautira,PF,82.4,light rain,-17.7333,-149.15,Pension Oaoa
133,Port Blair,IN,82.36,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
135,Kavaratti,IN,84.36,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
