City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,8.05,broken clouds
1,Kruisfontein,ZA,-34.0033,24.7314,64.0,89,100,4.0,overcast clouds
2,Kasongo,CD,-4.45,26.6667,71.19,89,47,2.13,light rain
3,Kaitangata,NZ,-46.2817,169.8464,55.0,87,99,1.99,overcast clouds
4,Palu,ID,-0.8917,119.8707,74.14,94,100,2.64,overcast clouds
5,Albany,US,42.6001,-73.9662,54.0,66,100,1.99,overcast clouds
6,Bengkulu,ID,-3.8004,102.2655,75.78,87,100,2.59,overcast clouds
7,Rikitea,PF,-23.1203,-134.9692,77.86,74,73,8.12,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,75.2,57,0,11.5,clear sky
9,Bathsheba,BB,13.2167,-59.5167,86.0,58,40,18.41,scattered clouds
10,Port Alfred,ZA,-33.5906,26.891,68.76,66,100,25.26,overcast clouds
11,Naze,JP,28.3667,129.4833,63.86,80,100,9.01,overcast clouds
12,Portland,US,45.5234,-122.6762,66.0,38,1,1.01,clear sky
13,Veraval,IN,20.9,70.3667,78.78,77,0,8.59,clear sky
14,Molnlycke,SE,57.6589,12.1179,48.0,52,0,11.5,clear sky
15,Kapaa,US,22.0752,-159.319,71.6,78,75,12.66,light rain
16,Cape Town,ZA,-33.9258,18.4232,68.0,73,0,25.32,clear sky
17,Ketchikan,US,55.3422,-131.6461,51.03,67,74,5.3,broken clouds
18,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.03,87,100,5.82,light rain
19,Launceston,AU,-41.45,147.1667,39.0,80,17,3.44,few clouds
20,Gorontalo,ID,0.5412,123.0595,74.35,92,99,1.86,overcast clouds
21,Manaus,BR,-3.1019,-60.025,86.0,74,40,5.75,scattered clouds
22,Vaini,TO,-21.2,-175.2,75.2,88,40,6.91,scattered clouds
23,Barrow,US,71.2906,-156.7887,10.4,79,75,4.61,broken clouds
24,Hasaki,JP,35.7333,140.8333,44.6,81,75,4.61,broken clouds
25,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,100,90,11.5,light snow
26,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,54,40,12.66,scattered clouds
27,Punta Arenas,CL,-53.15,-70.9167,53.6,62,75,9.22,broken clouds
28,Souillac,MU,-20.5167,57.5167,77.0,94,75,2.3,light rain
29,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,90,8.05,light rain
30,Jamestown,US,42.097,-79.2353,42.01,65,90,12.66,overcast clouds
31,Castro,BR,-24.7911,-50.0119,71.83,56,45,5.66,scattered clouds
32,Thompson,CA,55.7435,-97.8558,39.2,30,75,4.61,broken clouds
